Groups	AN	Species
metazoans_mit	KY994151.1	Trypoxylon sp.
metazoans_mit	KY996815.1	Quedenfeldtia moerens partial genome
metazoans_mit	KY996817.1	Quedenfeldtia trachyblepharus partial genome
metazoans_mit	LC099100.1	Bubo flavipes partial genome
metazoans_mit	LC099103.1	Bubo blakistoni partial genome
metazoans_mit	LC201813.1	Acropora carduus
metazoans_mit	LC201815.1	Acropora acuminata
metazoans_mit	LC201816.1	Acropora austera
metazoans_mit	LC201817.1	Acropora cytherea
metazoans_mit	LC201828.1	Acropora grandis
metazoans_mit	LC201839.1	Acropora echinata
metazoans_mit	LC201847.1	Acropora selago
metazoans_mit	LC201855.1	Acropora awi
metazoans_mit	LC222527.1	Pagurus lanuginosus
metazoans_mit	LC222529.1	Pagurus middendorffii
metazoans_mit	LC222530.1	Pagurus brachiomastus
metazoans_mit	LC222532.1	Pagurus japonicus
metazoans_mit	LC222535.1	Pagurus sp.
metazoans_mit	LC536647.1	Macaca fuscata fuscata
metazoans_mit	LC605627.1	Porites australiensis
metazoans_mit	LC642727.1	Tokudaia osimensis
metazoans_mit	LC722794.1	Ceratovacuna japonica
metazoans_mit	LC765994.1	Psychidae sp.
metazoans_mit	LN871175.1	Pseudoniphargus sorbasiensis partial genome
metazoans_mit	LN871176.1	Pseudoniphargus gorbeanus partial genome
metazoans_mit	LN874270.1	Sarcoptes scabiei type suis
metazoans_mit	LN901195.1	Ectopleura larynx partial genome
metazoans_mit	LN901196.1	Hydractinia polyclina partial sequence
metazoans_mit	LN901209.1	Physalia physalis partial genome
metazoans_mit	LN901210.1	Podocoryna carnea partial genome
metazoans_mit	LR822062.1	Aquila chrysaetos chrysaetos
metazoans_mit	LR822069.1	Sciurus carolinensis
metazoans_mit	LR862378.1	Pipistrellus pipistrellus
metazoans_mit	LR899124.1	Ornithodoros pavimentosus
metazoans_mit	LR989881.1	Autographa gamma
metazoans_mit	LR989926.1	Inachis io
metazoans_mit	LR989931.1	Scaeva pyrastri
metazoans_mit	LR989980.1	Laspeyria flexula
metazoans_mit	LR990069.1	Blastobasis lacticolella
metazoans_mit	LR990102.1	Erynnis tages
metazoans_mit	LR990157.1	Hypena proboscidalis
metazoans_mit	LR990190.1	Notodonta dromedarius
metazoans_mit	LR990223.1	Hylaea fasciaria
metazoans_mit	LR990279.1	Aricia agestis
metazoans_mit	LR990308.2	Apotomis turbidana
metazoans_mit	LR990371.2	Mythimna impura
metazoans_mit	LR990516.1	Thyatira batis
metazoans_mit	LR990548.1	Phlogophora meticulosa
metazoans_mit	LR990581.1	Vanessa atalanta
metazoans_mit	LR990640.1	Phalera bucephala
metazoans_mit	LR990672.1	Xestia xanthographa
metazoans_mit	LR990884.2	Endotricha flammealis
metazoans_mit	LR990920.1	Pararge aegeria
metazoans_mit	LR990953.1	Noctua fimbriata
metazoans_mit	LR990986.1	Craniophora ligustri
metazoans_mit	LR991051.3	Cosmia trapezina
metazoans_mit	LR991080.1	Notocelia uddmanniana
metazoans_mit	LR991109.2	Lymantria monacha
metazoans_mit	LR991678.1	Bufo bufo
metazoans_mit	LR994570.1	Cyaniris semiargus
metazoans_mit	LR994603.1	Celastrina argiolus
metazoans_mit	LR999923.1	Noctua pronuba
metazoans_mit	LR999956.2	Vanessa cardui
metazoans_mit	LR999962.1	Xylota sylvarum
metazoans_mit	LR999969.1	Tachina fera
metazoans_mit	LR999999.2	Deilephila porcellus
metazoans_mit	LT594767.1	Hyalella lucifugax partial genome
metazoans_mit	LT599482.1	Chelonoidis alburyorum partial genome
metazoans_mit	LT599484.1	Chelonoidis chilensis partial genome
metazoans_mit	LT599485.1	Chelonoidis denticulatus partial genome
metazoans_mit	LT599487.1	Centrochelys sulcata partial genome
metazoans_mit	MF034146.1	Melibe japonica
metazoans_mit	MF069434.1	Dendrobates auratus partial genome
metazoans_mit	MF069435.1	Dendrobates leucomelas partial genome
metazoans_mit	MF069440.1	Dendrobates tinctorius partial genome
metazoans_mit	MF095859.1	Bathyacmaea nipponica
metazoans_mit	MF100783.1	Cerconychia flectospina partial genome
metazoans_mit	MF101818.1	Hyalomma asiaticum kozlovi
metazoans_mit	MF143469.1	Myotis californicus partial genome
metazoans_mit	MF143472.1	Myotis keenii partial genome
metazoans_mit	MF143473.1	Myotis simus partial genome
metazoans_mit	MF143474.1	Eptesicus fuscus partial genome
metazoans_mit	MF143483.1	Myotis fortidens partial genome
metazoans_mit	MF143490.1	Myotis occultus
metazoans_mit	MF143499.1	Myotis velifer partial genome
metazoans_mit	MF187611.1	Armadillidium nasatum partial genome
metazoans_mit	MF187613.1	Armadillidium vulgare partial genome
metazoans_mit	MF197548.2	Birmella discoidalisa partial genome
metazoans_mit	MF198407.1	Gastrolina depressa partial genome
metazoans_mit	MF287761.1	Arge bella
metazoans_mit	MF351884.1	Blepharida rhois
metazoans_mit	MF351885.1	Neocrepidodera transversa
metazoans_mit	MF351886.1	Asphaera sp.
metazoans_mit	MF351887.1	Chabria nr. angulicollis
metazoans_mit	MF351888.1	Diphaltica sp.
metazoans_mit	MF410859.1	Culicidae sp. 2
metazoans_mit	MF410878.1	Sciaridae sp.
metazoans_mit	MF410898.1	Pterygota sp.
metazoans_mit	MF410905.1	Endopterygota sp.
metazoans_mit	MF410925.1	Culicidae sp. 1
metazoans_mit	MF410943.1	Neoptera sp.
metazoans_mit	MF410944.1	Cecidomyiidae sp. partial genome
metazoans_mit	MF410968.1	Schizophora sp.
metazoans_mit	MF410974.1	Cyclorrhapha sp.
metazoans_mit	MF410977.1	Eremoneura sp.
metazoans_mit	MF410985.1	Calyptratae sp.
metazoans_mit	MF410990.1	Dolichopodidae sp.
metazoans_mit	MF410991.1	Brachycera sp.
metazoans_mit	MF410994.1	Drosophilidae sp.
metazoans_mit	MF411004.1	Hybotidae sp.
metazoans_mit	MF411052.1	Hemiptera sp.
metazoans_mit	MF447873.1	Amphioctopus cf. ovulum
metazoans_mit	MF447874.1	Amphioctopus rex
metazoans_mit	MF457407.1	Aegla aff. longirostri partial genome
metazoans_mit	MF457408.1	Macrophthalmus darwinensis partial genome
metazoans_mit	MF491520.1	Conus raulsilvai partial genome
metazoans_mit	MF491525.1	Conus (Africonus) sp. partial genome
metazoans_mit	MF491528.1	Conus gonsaloi partial genome
metazoans_mit	MF491533.1	Conus calhetae partial genome
metazoans_mit	MF491537.1	Conus galeao partial genome
metazoans_mit	MF491538.1	Conus isabelarum partial genome
metazoans_mit	MF491540.1	Conus verdensis partial genome
metazoans_mit	MF491547.1	Conus delanoyae partial genome
metazoans_mit	MF491548.1	Conus vulcanus partial genome
metazoans_mit	MF491551.1	Conus damottai partial genome
metazoans_mit	MF491562.1	Conus josephinae partial genome
metazoans_mit	MF491563.1	Conus boavistensis partial genome
metazoans_mit	MF491564.1	Conus crotchii partial genome
metazoans_mit	MF491566.1	Conus diminutus partial genome
metazoans_mit	MF491568.1	Conus sp. partial genome
metazoans_mit	MF491571.1	Conus cuneolus partial genome
metazoans_mit	MF491573.1	Conus felitae partial genome
metazoans_mit	MF491577.1	Conus longilineus partial genome
metazoans_mit	MF491578.1	Conus antoniomonteiroi partial genome
metazoans_mit	MF491585.1	Conus regonae partial genome
metazoans_mit	MF491586.1	Conus roeckeli partial genome
metazoans_mit	MF491587.1	Conus antoniaensis partial genome
metazoans_mit	MF491592.1	Conus fuscoflavus partial genome
metazoans_mit	MF491595.1	Conus maioensis partial genome
metazoans_mit	MF491599.1	Conus grahami partial genome
metazoans_mit	MF491600.1	Conus navarroi partial genome
metazoans_mit	MF491601.1	Conus freitasi partial genome
metazoans_mit	MF491602.1	Conus curralensis partial genome
metazoans_mit	MF491603.1	Conus decoratus partial genome
metazoans_mit	MF491604.1	Conus fernandesi partial genome
metazoans_mit	MF491605.1	Conus denizi partial genome
metazoans_mit	MF491606.1	Conus trochulus partial genome
metazoans_mit	MF491607.1	Conus (Lautoconus) sp. partial genome
metazoans_mit	MF568543.1	Orybina plangonalis partial genome
metazoans_mit	MF594624.1	Sitona callosus partial genome
metazoans_mit	MF667551.1	Holothuroidea sp.
metazoans_mit	MF716594.1	Lepidocyrtinus diamantinae
metazoans_mit	MF716596.1	Lepidocyrtinus prodigus
metazoans_mit	MF716597.1	Seira mendoncea
metazoans_mit	MF716598.1	Lepidocyrtoides sp.
metazoans_mit	MF716600.1	Lepidocyrtinus paraibensis
metazoans_mit	MF716601.1	Seira atrolutea
metazoans_mit	MF716603.1	Acanthocyrtus sp.
metazoans_mit	MF716607.1	Trogolaphysa sp.
metazoans_mit	MF716608.1	Entomobrya sp.
metazoans_mit	MF716609.1	Lepidocyrtinus sp.
metazoans_mit	MF716610.1	Tyrannoseira raptora
metazoans_mit	MF716611.1	Tyrannoseira gladiata
metazoans_mit	MF716612.1	Seira sp.
metazoans_mit	MF716614.1	Seira ritae
metazoans_mit	MF716617.1	Lepidocyrtinus harenus
metazoans_mit	MF716618.1	Lepidocyrtoides caeruleomaculatus
metazoans_mit	MF716619.1	Seira brasiliana
metazoans_mit	MF716620.1	Seira tinguira
metazoans_mit	MF716621.1	Lepidocyrtus sp.
metazoans_mit	MF737191.1	Sermyloides sp.
metazoans_mit	MF774215.1	Lonchoptera multiseta partial genome
metazoans_mit	MF774216.1	Pipunculus sp. partial genome
metazoans_mit	MF776884.1	Telenomus sp. partial genome
metazoans_mit	MF946562.1	Cassida circumdata partial genome
metazoans_mit	MF946615.1	Fleutiauxia armata
metazoans_mit	MF946616.1	Galeruca nigrolineata
metazoans_mit	MF946617.1	Geinula sp.
metazoans_mit	MF946618.1	Macrima straminea
metazoans_mit	MF946619.1	Meristata sp.
metazoans_mit	MF946620.1	Mimastra soreli
metazoans_mit	MF946621.1	Monolepta atrimarginata
metazoans_mit	MF946622.1	Oides maculatus
metazoans_mit	MF946623.1	Paridea biplagiata
metazoans_mit	MF959624.1	Archivesica sp. partial genome
metazoans_mit	MF960084.1	Paridea transversofasciata
metazoans_mit	MF960085.1	Platyxantha sp.
metazoans_mit	MF960086.1	Proegmena sp.
metazoans_mit	MF960087.1	Pseudadimonia sp.
metazoans_mit	MF960088.1	Pyrrhalta aenescens
metazoans_mit	MF960089.1	Siemssenius fulvipennis
metazoans_mit	MF960090.1	Sphenoraia micans
metazoans_mit	MF960091.1	Theopea aeneipennis
metazoans_mit	MF960092.1	Lochmaea sp.
metazoans_mit	MF960093.1	Agetocera deformicornis
metazoans_mit	MF960094.1	Mimastra limbata
metazoans_mit	MF960095.1	Luperus sulphuripes
metazoans_mit	MF960096.1	Gallerucida bifasciata
metazoans_mit	MF960097.1	Pseudoides sp.
metazoans_mit	MF960098.1	Oides livida
metazoans_mit	MF960099.1	Oides decempunctatus
metazoans_mit	MF960100.1	Galerucella sp.
metazoans_mit	MF960101.1	Cochabamba sp.
metazoans_mit	MF960102.1	Charaea flaviventris
metazoans_mit	MF960103.1	Isotes sp.
metazoans_mit	MF960104.1	Macrima sp.
metazoans_mit	MF960105.1	Monolepta signata 1
metazoans_mit	MF960107.1	Epitrix abeillei
metazoans_mit	MF960108.1	Lanka ramakrishnai
metazoans_mit	MF960109.1	Nisotra sp.
metazoans_mit	MF960110.1	Lypnea pubipennis
metazoans_mit	MF960111.1	Sinocrepis fulva
metazoans_mit	MF960112.1	Tegyrius keralaensis
metazoans_mit	MF960113.1	Bikasha collaris
metazoans_mit	MF960114.1	Argopistes sp.
metazoans_mit	MF960116.1	Crepidodera sp.
metazoans_mit	MF960117.1	Novofoudrasia regularis
metazoans_mit	MF960118.1	Hemipyxis plagioderoides
metazoans_mit	MF960119.1	Hespera cyanea
metazoans_mit	MF960120.1	Hespera obesula
metazoans_mit	MF960121.1	Laotzeus sp.
metazoans_mit	MF960122.1	Lactica sp.
metazoans_mit	MF960123.1	Lipromima minuta
metazoans_mit	MF960124.1	Luperomorpha hainana
metazoans_mit	MF979888.1	Aplosonyx pictus
metazoans_mit	MF979889.1	Arthrotus chinensis
metazoans_mit	MF979890.1	Sinoluperus subcostatus
metazoans_mit	MF979891.1	Isshikia dimidiaticornis
metazoans_mit	MF979892.1	Cassena terminalis
metazoans_mit	MF979893.1	Trirhabda virgata
metazoans_mit	MF979894.1	Nonarthra nigricolle
metazoans_mit	MF979895.1	Nonarthra nigripennis
metazoans_mit	MF979896.1	Phygasia gracilicornis
metazoans_mit	MF979897.1	Phygasia ornata
metazoans_mit	MF979898.1	Philopona vibex
metazoans_mit	MF979899.1	Podontia lutea
metazoans_mit	MF979900.1	Psylliodes sp.
metazoans_mit	MF979901.1	Sangariola fortunei
metazoans_mit	MF979902.1	Halticorcus sp.
metazoans_mit	MF979903.1	Sphaeroderma sp.
metazoans_mit	MF979904.1	Mandarella nipponensis
metazoans_mit	MF979905.1	Mandarella flaviventris
metazoans_mit	MF979906.1	Xuthea yunnanensis
metazoans_mit	MF979907.1	Aphthona strigosa
metazoans_mit	MF979908.1	Neocrepidodera sp.
metazoans_mit	MF979909.1	Oedionychus cinctus
metazoans_mit	MF979910.1	Podagrica sp.
metazoans_mit	MF979912.1	Longitarsus ballotae
metazoans_mit	MF979913.1	Hecataeus sp.
metazoans_mit	MF979914.1	Hoplosaenidea subcostata
metazoans_mit	MF979915.1	Ophraella sp.
metazoans_mit	MF979916.1	Sermylassa halensis
metazoans_mit	MF979917.1	Agetocera mirabilis
metazoans_mit	MF979918.1	Paragetocera flavipes
metazoans_mit	MF979919.1	Periclitena vigorsi
metazoans_mit	MF979920.1	Anadimonia potanini
metazoans_mit	MF979922.1	Doryidomorpha fulva
metazoans_mit	MF992928.1	Calvia muiri
metazoans_mit	MF992929.1	Illeis cincta partial genome
metazoans_mit	MF992930.1	Afissula kambaitana partial genome
metazoans_mit	MF992931.1	Propylea quattuordecimpunctata partial genome
metazoans_mit	MF992932.1	Henosepilachna vigintioctomaculata partial genome
metazoans_mit	MF993329.1	Bothromesostoma personatum
metazoans_mit	MF993330.1	Crassiplana albatrossi
metazoans_mit	MF993337.1	Notocomplana palta
metazoans_mit	MF997046.1	Holotrichia oblita partial genome
metazoans_mit	MF997047.1	Holotrichia sp. partial genome
metazoans_mit	MF997048.1	Maladera orientalis partial genome
metazoans_mit	MF997050.1	Serica sp. partial genome
metazoans_mit	MG001883.1	Calanus glacialis contig 2 partial genome
metazoans_mit	MG001884.1	Calanus glacialis contig 1 partial genome
metazoans_mit	MG001887.1	Calanus finmarchicus partial genome
metazoans_mit	MG017450.1	Anthrenus verbasci partial genome
metazoans_mit	MG021081.1	Aristobrotica sp. partial genome
metazoans_mit	MG021085.1	Syphrea sp. partial genome
metazoans_mit	MG193333.1	Brentidae sp.
metazoans_mit	MG193519.1	Canthon aequinoctialis
metazoans_mit	MG255139.1	Neotrogla sp. partial genome
metazoans_mit	MG366126.1	Phyllomimus sp. partial genome
metazoans_mit	MG488216.1	Ectemnonotum fruhstorferi partial genome
metazoans_mit	MG488217.1	Cosmoscarta mandarina partial genome
metazoans_mit	MG488218.1	Cosmoscarta exultans partial genome
metazoans_mit	MG488219.1	Okiscarta uchidae partial genome
metazoans_mit	MG543679.1	Prionispa champaka
metazoans_mit	MG581161.1	Paederus fuscipes partial genome
metazoans_mit	MG581932.1	Choreutis emplecta partial genome
metazoans_mit	MG584728.1	Halyziini sp. partial genome
metazoans_mit	MG674195.1	Tettigades limbata partial genome
metazoans_mit	MG677941.1	Calineuria stigmatica partial genome
metazoans_mit	MG677942.1	Caroperla siveci partial genome
metazoans_mit	MG737715.1	Auritibicen bihamatus partial genome
metazoans_mit	MG737716.1	Auritibicen japonicus partial genome
metazoans_mit	MG737718.1	Cryptotympana facialis partial genome
metazoans_mit	MG737719.1	Euterpnosia chibensis partial genome
metazoans_mit	MG737720.1	Graptopsaltria bimaculata partial genome
metazoans_mit	MG737721.1	Graptopsaltria nigrofuscata partial genome
metazoans_mit	MG737722.1	Hyalessa maculaticollis partial genome
metazoans_mit	MG737723.1	Kosemia yezoensis partial genome
metazoans_mit	MG737724.1	Meimuna iwasakii partial genome
metazoans_mit	MG737725.1	Meimuna kuroiwae partial genome
metazoans_mit	MG737727.1	Meimuna oshimensis partial genome
metazoans_mit	MG737728.1	Mogannia minuta partial genome
metazoans_mit	MG737729.1	Muda kuroiwae partial genome
metazoans_mit	MG737731.1	Tanna japonensis partial genome
metazoans_mit	MG737732.1	Yezoterpnosia nigricosta partial genome
metazoans_mit	MG737733.1	Yezoterpnosia vacua partial genome
metazoans_mit	MG737734.1	Vagitanus terminalis partial genome
metazoans_mit	MG737735.1	Aleeta curvicosta partial genome
metazoans_mit	MG737736.1	Amphipsalta zelandica partial genome
metazoans_mit	MG737737.1	Kikihia muta partial genome
metazoans_mit	MG737738.1	Kikihia ochrina partial genome
metazoans_mit	MG737758.1	Tettigarcta crinita partial genome
metazoans_mit	MG737759.1	Tryella crassa partial genome
metazoans_mit	MG737760.1	Okanagana bella partial genome
metazoans_mit	MG737761.1	Okanagana canadensis partial genome
metazoans_mit	MG737762.1	Okanagana oregona partial genome
metazoans_mit	MG737763.1	Okanagana rimosa partial genome
metazoans_mit	MG737764.1	Cicadettana calliope partial genome
metazoans_mit	MG737768.1	Tettigades chilensis partial genome
metazoans_mit	MG737771.1	Tettigades distanti partial genome
metazoans_mit	MG737782.1	Tettigades lacertosa partial genome
metazoans_mit	MG737785.1	Tettigades opaca partial genome
metazoans_mit	MG737788.1	Tettigades sp. partial genome
metazoans_mit	MG737789.1	Tettigades ulnaria partial genome
metazoans_mit	MG737792.1	Tettigades undata partial genome
metazoans_mit	MG737801.1	Alarcta quadrimacula partial genome
metazoans_mit	MG737802.1	Babras sonorivox partial genome
metazoans_mit	MG737803.1	Calliopsida cinnabarina partial genome
metazoans_mit	MG737804.1	Chilecicada sp. partial genome
metazoans_mit	MG737805.1	Chonosia atrodorsalis partial genome
metazoans_mit	MG737806.1	Chonosia crassipennis partial genome
metazoans_mit	MG737807.1	Derotettix mendosensis partial genome
metazoans_mit	MG737808.1	Mendozana platypleura partial genome
metazoans_mit	MG737809.1	Platypedia putnami partial genome
metazoans_mit	MG737810.1	Tettigades dumfriesi partial genome
metazoans_mit	MG737811.1	Tettigades major partial genome
metazoans_mit	MG737813.1	Tettigades sarcinatrix partial genome
metazoans_mit	MG737814.1	Tettigotoma maculata partial genome
metazoans_mit	MG753993.1	Parapenaeon diatropa
metazoans_mit	MG753994.1	Orbione halipori
metazoans_mit	MG792058.1	Acanthoparyphium sp.
metazoans_mit	MG807478.1	Parapenaeon expansa
metazoans_mit	MG813797.1	Encarsia formosa partial genome
metazoans_mit	MG813798.1	Encarsia obtusiclava partial genome
metazoans_mit	MG820271.1	Liposcelis brunnea chromosome 1
metazoans_mit	MG820272.1	Liposcelis brunnea chromosome 2
metazoans_mit	MG820273.1	Liposcelis brunnea chromosome 3
metazoans_mit	MG870227.1	Ectatomma ruidum
metazoans_mit	MG870228.1	Ectatomma tuberculatum
metazoans_mit	MG882147.1	Eublaberus distanti
metazoans_mit	MG893580.1	Intoshia variabili
metazoans_mit	MG917727.1	Rhopalura litoralis
metazoans_mit	MG923482.1	Alloxysta sp. partial genome
metazoans_mit	MG923483.1	Amblyjoppa sp. partial genome
metazoans_mit	MG923484.1	Arge similis partial genome
metazoans_mit	MG923486.1	Belyta sp. partial genome
metazoans_mit	MG923487.1	Brachymeria sp. partial genome
metazoans_mit	MG923488.1	Ceraphronidae sp. partial genome
metazoans_mit	MG923489.1	Cleptes metallicorpus partial genome
metazoans_mit	MG923490.1	Dendrocerus sp. partial genome
metazoans_mit	MG923491.1	Diapriidae sp. partial genome
metazoans_mit	MG923492.1	Dryinus sp. partial genome
metazoans_mit	MG923493.1	Eupelmus sp. partial genome
metazoans_mit	MG923494.1	Eurytoma sp. partial genome 2
metazoans_mit	MG923495.1	Exallonyx sp. partial genome
metazoans_mit	MG923496.1	Gasteruption tournieri partial genome
metazoans_mit	MG923497.1	Gastraspis sp. partial genome
metazoans_mit	MG923498.1	Helorus sp. partial genome
metazoans_mit	MG923499.1	Hyposoter sp. partial genome
metazoans_mit	MG923500.1	Hypsicera sp. partial genome
metazoans_mit	MG923501.1	Ismarus sp. partial genome
metazoans_mit	MG923502.1	Megalodontes quinquecinctus partial genome
metazoans_mit	MG923504.1	Pamphilius sp. partial genome
metazoans_mit	MG923505.1	Parevania sp. partial genome
metazoans_mit	MG923506.1	Pimpla luctuosa partial genome
metazoans_mit	MG923508.1	Habroteleia persimilis partial genome
metazoans_mit	MG923509.1	Scelio sp. partial genome
metazoans_mit	MG923510.1	Platygaster sp. partial genome
metazoans_mit	MG923511.1	Pristaulacus sp. partial genome
metazoans_mit	MG923512.1	Prosevania sp. partial genome
metazoans_mit	MG923514.1	Synergus sp. partial genome
metazoans_mit	MG923516.1	Torymus sp. partial genome
metazoans_mit	MG923517.1	Xyela sp. partial genome
metazoans_mit	MG970258.1	Macrogyrodactylus karibae partial genome
metazoans_mit	MH018243.1	Perdicella helena
metazoans_mit	MH070027.1	Eupsophus vertebralis partial genome
metazoans_mit	MH070028.1	Eupsophus emiliopugini partial genome
metazoans_mit	MH084345.1	Parapenaeonella distincta
metazoans_mit	MH087466.1	Fejervarya kawamurai partial genome
metazoans_mit	MH119311.1	Melarhaphe neritoides partial genome
metazoans_mit	MH155200.1	Neelus murinus partial genome
metazoans_mit	MH156809.1	Cyllorhynchites ursulus partial genome
metazoans_mit	MH158404.1	Acropyga donisthorpei partial genome
metazoans_mit	MH206162.1	Puffinus lherminieri
metazoans_mit	MH223674.1	Anthocoris kerzhneri partial genome
metazoans_mit	MH243427.1	Conus marimaris partial genome
metazoans_mit	MH294484.1	Halice sp. partial genome
metazoans_mit	MH308390.1	Clionella kraussii partial genome
metazoans_mit	MH308391.1	Clavatula tripartita partial genome
metazoans_mit	MH308393.1	Lucerapex sp. partial genome
metazoans_mit	MH308394.1	Cochlespira sp. partial genome
metazoans_mit	MH308397.1	Anguloclavus sp. 1 partial genome
metazoans_mit	MH308398.1	Marshallena sp. partial genome
metazoans_mit	MH308399.1	Anguloclavus sp. 2 partial genome
metazoans_mit	MH308400.1	Benthomangelia sp. partial genome
metazoans_mit	MH308401.1	Toxicochlespira sp. partial genome
metazoans_mit	MH308402.1	Mitromorpha fischeri partial genome
metazoans_mit	MH308403.1	Inquisitor sp. partial genome
metazoans_mit	MH308405.1	Otitoma sp. partial genome
metazoans_mit	MH308406.1	Eubela sp. partial genome
metazoans_mit	MH308408.1	Pinguigemmula sp. partial genome
metazoans_mit	MH311777.1	Thalassodes proquadraria
metazoans_mit	MH322000.1	Paragonimus kellicotti partial genome
metazoans_mit	MH362760.1	Theba pisana
metazoans_mit	MH374046.1	Lednia tumana partial genome
metazoans_mit	MH382811.1	Ptychoramphus aleuticus
metazoans_mit	MH388823.1	Lymantria albescens partial genome
metazoans_mit	MH388826.1	Lymantria postalba partial genome
metazoans_mit	MH388827.1	Lymantria xylina partial genome
metazoans_mit	MH492733.1	Ischnocnema henselii
metazoans_mit	MH492734.1	Ischnocnema nasuta
metazoans_mit	MH492735.1	Ischnocnema erythromera
metazoans_mit	MH492736.1	Ischnocnema oea
metazoans_mit	MH492737.1	Ischnocnema guentheri
metazoans_mit	MH492744.1	Ischnocnema sp.
metazoans_mit	MH657221.2	Hoplolaimus columbus
metazoans_mit	MH710604.1	Lovenula raynerae partial genome
metazoans_mit	MH748648.1	Chrysis sp.
metazoans_mit	MH748651.1	Dryinidae sp.
metazoans_mit	MH748652.1	Embolemus sp.
metazoans_mit	MH748653.1	Haplogonatopus apicalis , sequence
metazoans_mit	MH748655.1	Mutillidae sp.
metazoans_mit	MH748657.1	Pararrhynchium sp.
metazoans_mit	MH748658.1	Pompilidae sp.
metazoans_mit	MH748659.1	Psenulus sp.
metazoans_mit	MH748660.1	Scoliidae sp.
metazoans_mit	MH748662.1	Stilbum calens , sequence
metazoans_mit	MH748663.1	Tiphia sp.
metazoans_mit	MH748664.1	Tiphiidae sp.
metazoans_mit	MH748667.1	Ancistrocerus sp.
metazoans_mit	MH748668.1	Anteon sp.
metazoans_mit	MH748669.1	Arachnospila sp.
metazoans_mit	MH748670.1	Sclerodermus guani , sequence
metazoans_mit	MH748671.1	Megacampsomeris prismatica , sequence
metazoans_mit	MH751315.1	Rhynchitinae sp.
metazoans_mit	MH751316.1	Mordellidae sp.
metazoans_mit	MH789716.1	Cryptorhynchinae sp. partial genome
metazoans_mit	MH789717.1	Harpalinae sp. partial genome
metazoans_mit	MH789718.1	Discolomatidae sp. partial genome
metazoans_mit	MH789722.1	Anthicidae sp. partial genome
metazoans_mit	MH789723.1	Lamiinae sp. partial genome
metazoans_mit	MH789725.1	Amarygmini sp. partial genome
metazoans_mit	MH789727.1	Ptilodactylidae sp. partial genome
metazoans_mit	MH789728.1	Cleridae sp. partial genome
metazoans_mit	MH789729.1	Cassidinae sp. partial genome
metazoans_mit	MH789730.1	Galerucinae sp. partial genome
metazoans_mit	MH789731.1	Lebiini sp. partial genome
metazoans_mit	MH789732.1	Agrilinae sp. partial genome
metazoans_mit	MH789733.1	Anthribidae sp. partial genome
metazoans_mit	MH789735.1	Entiminae sp. partial genome
metazoans_mit	MH789742.1	Nitidulidae sp. partial genome
metazoans_mit	MH794283.1	Favites halicora
metazoans_mit	MH836601.1	Erotylinae sp. partial genome
metazoans_mit	MH844862.1	Opisthotropis andersonii
metazoans_mit	MH908171.1	Korynetinae sp. 'Tarsosteninae'
metazoans_mit	MH908172.1	Idgia sp.
metazoans_mit	MH908175.1	Scymninae sp.
metazoans_mit	MH908178.1	Eumolpinae sp.
metazoans_mit	MH910629.1	Liostenogaster nitidipennis , sequence
metazoans_mit	MH910630.1	Parischnogaster mellyi , sequence
metazoans_mit	MH923241.1	Eucnemidae sp. partial genome
metazoans_mit	MH940173.1	Macratriinae sp. partial genome
metazoans_mit	MH940196.1	Coleoptera sp. partial genome
metazoans_mit	MH940200.1	Mordellidae sp. partial genome
metazoans_mit	MH982581.1	Andrena hunanensis partial genome
metazoans_mit	MH982582.1	Andrena striata partial genome
metazoans_mit	MH992752.1	Analcellicampa xanthosoma partial genome
metazoans_mit	MH998258.1	Bombus sibiricus partial genome
metazoans_mit	MH998259.1	Bombus asiaticus partial genome
metazoans_mit	MH998260.1	Bombus pyrosoma partial genome
metazoans_mit	MH998261.1	Bombus kashmirensis partial genome
metazoans_mit	MH999477.1	Aff. Aleurochiton sp.
metazoans_mit	MK033132.1	Opisthorchis sudarikovi partial genome
metazoans_mit	MK034300.2	Elephas antiquus partial genome
metazoans_mit	MK049858.1	Odontota dorsalis
metazoans_mit	MK049859.1	Deloyala lecontei
metazoans_mit	MK049863.1	Rhadinosa sp.
metazoans_mit	MK049864.1	Dactylispa sp.
metazoans_mit	MK049865.1	Oulema erichsonii
metazoans_mit	MK051027.1	Anterhynchium aff. flavomarginatum partial genome
metazoans_mit	MK051028.1	Anterhynchium (Dirhynchium) sp. partial genome
metazoans_mit	MK051029.1	Anterhynchium abdominale partial genome
metazoans_mit	MK051030.1	Rhynchium quinquecinctum partial genome
metazoans_mit	MK079940.1	Homaxinella balfourensis
metazoans_mit	MK079941.1	Axinella damicornis
metazoans_mit	MK079942.1	Cliona varians
metazoans_mit	MK079943.1	Dendrilla antarctica
metazoans_mit	MK079944.1	Geodia atlantica
metazoans_mit	MK079946.1	Halisarca caerulea
metazoans_mit	MK079947.1	Phakellia ventilabrum
metazoans_mit	MK079948.1	Phorbas areolatus
metazoans_mit	MK079949.1	Phorbas tenacior
metazoans_mit	MK079950.1	Poecillastra compressa
metazoans_mit	MK079951.1	Stryphnus fortis
metazoans_mit	MK111414.1	Klapopteryx armillata partial genome
metazoans_mit	MK111420.1	Sphaeronemoura hainana partial genome
metazoans_mit	MK123949.1	Phymatostetha semele partial genome
metazoans_mit	MK123950.1	Phymatostetha signifera partial genome
